model,difficulty,forward,inverse,rollout,world_model_score,ablation_name,inverse_gap,inverse_mask_mode,inverse_visible_interval,reveal_equations,description
Oracle simulator,easy,1.0,1.0,1.0,1.0,A0_gap0_no_mask_noeq,0,no_mask,1,False,Full current observation. Checks whether fatigue can be estimated when no recent resistance is hidden.
Curve-fit baseline,easy,0.9791358279744576,0.7554347388470342,0.9063870520738286,0.882925990875979,A0_gap0_no_mask_noeq,0,no_mask,1,False,Full current observation. Checks whether fatigue can be estimated when no recent resistance is hidden.
Last-value baseline,easy,0.833475371242542,0.7554347388470342,0.7080240879000266,0.7598826681868834,A0_gap0_no_mask_noeq,0,no_mask,1,False,Full current observation. Checks whether fatigue can be estimated when no recent resistance is hidden.
gpt-4o,easy,0.9658674315288636,0.3021813751993923,0.8756083529999787,0.7306579832184683,A0_gap0_no_mask_noeq,0,no_mask,1,False,Full current observation. Checks whether fatigue can be estimated when no recent resistance is hidden.
Random baseline,easy,0.1440295058778442,0.2424013206348658,0.1886024881543498,0.191370243215553,A0_gap0_no_mask_noeq,0,no_mask,1,False,Full current observation. Checks whether fatigue can be estimated when no recent resistance is hidden.
Oracle simulator,hard,1.0,1.0,1.0,1.0,A0_gap0_no_mask_noeq,0,no_mask,1,False,Full current observation. Checks whether fatigue can be estimated when no recent resistance is hidden.
gpt-4o,hard,0.7767828541641819,0.3360516232964779,0.1766958813082512,0.4045286957614984,A0_gap0_no_mask_noeq,0,no_mask,1,False,Full current observation. Checks whether fatigue can be estimated when no recent resistance is hidden.
Last-value baseline,hard,0.6589231640474176,0.4011033845015179,0.1851399229228648,0.3920639337338266,A0_gap0_no_mask_noeq,0,no_mask,1,False,Full current observation. Checks whether fatigue can be estimated when no recent resistance is hidden.
Curve-fit baseline,hard,0.3996502833454831,0.4011033845015179,0.1572284699787337,0.3031174883455938,A0_gap0_no_mask_noeq,0,no_mask,1,False,Full current observation. Checks whether fatigue can be estimated when no recent resistance is hidden.
Random baseline,hard,0.1219943179578397,0.3242710969365933,0.0955764458059093,0.1721102027906936,A0_gap0_no_mask_noeq,0,no_mask,1,False,Full current observation. Checks whether fatigue can be estimated when no recent resistance is hidden.
Oracle simulator,medium,1.0,1.0,1.0,1.0,A0_gap0_no_mask_noeq,0,no_mask,1,False,Full current observation. Checks whether fatigue can be estimated when no recent resistance is hidden.
Curve-fit baseline,medium,0.8655567256116536,0.7859364495570361,0.599706901341656,0.7353307130872694,A0_gap0_no_mask_noeq,0,no_mask,1,False,Full current observation. Checks whether fatigue can be estimated when no recent resistance is hidden.
Last-value baseline,medium,0.785984824269701,0.7859364495570361,0.518537532872119,0.6789913952968687,A0_gap0_no_mask_noeq,0,no_mask,1,False,Full current observation. Checks whether fatigue can be estimated when no recent resistance is hidden.
gpt-4o,medium,0.9330796302621006,0.2501283139923094,0.642243732595123,0.6118598763143722,A0_gap0_no_mask_noeq,0,no_mask,1,False,Full current observation. Checks whether fatigue can be estimated when no recent resistance is hidden.
Random baseline,medium,0.2064896486630984,0.2196726732229314,0.2056919265025465,0.2101254671668275,A0_gap0_no_mask_noeq,0,no_mask,1,False,Full current observation. Checks whether fatigue can be estimated when no recent resistance is hidden.
Oracle simulator,easy,1.0,1.0,1.0,1.0,A1_gap3_partial_noeq,3,partial_resistance,2,False,Short observation gap with sparse intermediate anchors.
Curve-fit baseline,easy,0.9791358279744576,0.7682127387940612,0.9063870520738286,0.886759390860087,A1_gap3_partial_noeq,3,partial_resistance,2,False,Short observation gap with sparse intermediate anchors.
Last-value baseline,easy,0.833475371242542,0.7428409681671408,0.7080240879000266,0.7561045369829155,A1_gap3_partial_noeq,3,partial_resistance,2,False,Short observation gap with sparse intermediate anchors.
gpt-4o,easy,0.9652546990567274,0.1962021946599167,0.8639074210167924,0.6940000365217102,A1_gap3_partial_noeq,3,partial_resistance,2,False,Short observation gap with sparse intermediate anchors.
Random baseline,easy,0.1440295058778442,0.2424013206348658,0.1886024881543498,0.191370243215553,A1_gap3_partial_noeq,3,partial_resistance,2,False,Short observation gap with sparse intermediate anchors.
Oracle simulator,hard,1.0,1.0,1.0,1.0,A1_gap3_partial_noeq,3,partial_resistance,2,False,Short observation gap with sparse intermediate anchors.
Last-value baseline,hard,0.6589231640474176,0.5909830117837586,0.1851399229228648,0.4490278219184988,A1_gap3_partial_noeq,3,partial_resistance,2,False,Short observation gap with sparse intermediate anchors.
gpt-4o,hard,0.7785084465021488,0.2156814899129047,0.1840894464653321,0.3718927595106489,A1_gap3_partial_noeq,3,partial_resistance,2,False,Short observation gap with sparse intermediate anchors.
Curve-fit baseline,hard,0.3996502833454831,0.4417209509869788,0.1572284699787337,0.3153027582912321,A1_gap3_partial_noeq,3,partial_resistance,2,False,Short observation gap with sparse intermediate anchors.
Random baseline,hard,0.1219943179578397,0.3242710969365933,0.0955764458059093,0.1721102027906936,A1_gap3_partial_noeq,3,partial_resistance,2,False,Short observation gap with sparse intermediate anchors.
Oracle simulator,medium,1.0,1.0,1.0,1.0,A1_gap3_partial_noeq,3,partial_resistance,2,False,Short observation gap with sparse intermediate anchors.
Curve-fit baseline,medium,0.8655567256116536,0.8092897787699836,0.599706901341656,0.7423367118511537,A1_gap3_partial_noeq,3,partial_resistance,2,False,Short observation gap with sparse intermediate anchors.
Last-value baseline,medium,0.785984824269701,0.7211509373652982,0.518537532872119,0.6595557416393474,A1_gap3_partial_noeq,3,partial_resistance,2,False,Short observation gap with sparse intermediate anchors.
gpt-4o,medium,0.9341196791106974,0.1813813420215647,0.6247770813899867,0.5845611388956733,A1_gap3_partial_noeq,3,partial_resistance,2,False,Short observation gap with sparse intermediate anchors.
